11/17/2000 ,25.072
11/24/2000 ,24.426
12/1/2000 ,24.076
12/8/2000 ,25.078
12/15/2000 ,24.038
12/22/2000 ,23.678
12/29/2000 ,24.128
1/5/2001 ,23.716
1/12/2001 ,24.056
1/19/2001 ,24.458
1/26/2001 ,24.622
2/2/2001 ,24.518
2/9/2001 ,23.868
2/16/2001 ,23.604
2/23/2001 ,22.64
3/2/2001 ,22.45
3/9/2001 ,22.446
3/16/2001 ,20.812
3/23/2001 ,20.648
3/30/2001 ,21.012
4/6/2001 ,20.636
4/12/2001 ,21.532
4/20/2001 ,22.452
4/27/2001 ,22.642
5/4/2001 ,22.976
5/11/2001 ,22.604
5/18/2001 ,23.258
5/25/2001 ,23.09
6/1/2001 ,22.684
6/8/2001 ,22.776
6/15/2001 ,21.882
6/22/2001 ,21.918
6/29/2001 ,22.046
7/6/2001 ,21.338
7/13/2001 ,21.694
7/20/2001 ,21.562
7/27/2001 ,21.476
8/3/2001 ,21.756
8/10/2001 ,21.258
8/17/2001 ,20.948
8/24/2001 ,21.296
8/31/2001 ,20.5
9/7/2001 ,19.596
9/14/2001 ,19.57
9/21/2001 ,17.232
9/28/2001 ,18.604
10/5/2001 ,19.142
10/12/2001 ,19.514
10/19/2001 ,19.15
10/26/2001 ,19.71
11/2/2001 ,19.428
11/9/2001 ,19.936
11/16/2001 ,20.258
11/23/2001 ,20.384
11/30/2001 ,20.278
12/7/2001 ,20.658
12/14/2001 ,19.986
12/21/2001 ,20.258
12/28/2001 ,20.598
1/4/2002 ,20.858
1/11/2002 ,20.378
1/18/2002 ,20.016
1/25/2002 ,20.064
2/1/2002 ,19.896
2/8/2002 ,19.49
2/15/2002 ,19.704
2/22/2002 ,19.416
3/1/2002 ,20.126
3/8/2002 ,20.854
3/15/2002 ,20.88
3/22/2002 ,20.596
3/28/2002 ,20.608
4/5/2002 ,20.26
4/12/2002 ,20.112
4/19/2002 ,20.47
4/26/2002 ,19.802
5/3/2002 ,19.844
5/10/2002 ,19.54
5/17/2002 ,20.342
5/24/2002 ,20
5/31/2002 ,19.756
6/7/2002 ,19.078
6/14/2002 ,18.574
6/21/2002 ,18.308
6/28/2002 ,18.474
7/5/2002 ,18.35
7/12/2002 ,17.242
7/19/2002 ,16.196
7/26/2002 ,15.958
8/2/2002 ,16.156
8/9/2002 ,16.872
8/16/2002 ,17.198
8/23/2002 ,17.39
8/30/2002 ,16.968
